id	filename	md5	size	state
02a6cf32-943a-4918-846d-095ca88adca6	02a6cf32-943a-4918-846d-095ca88adca6/GAMED_p_TCGA_B_312_313_314_NSP_GenomeWideSNP_6_E02_1361630.nocnv_grch38.seg.v2.txt	f138eb6ee61c0e8d646971b1492a50ae	4237	validated
05fa6a98-8618-4de3-b6c0-a8c053a81ffa	05fa6a98-8618-4de3-b6c0-a8c053a81ffa/AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_F04_1348258.nocnv_grch38.seg.v2.txt	571c93806bb85393b1255eaa3e6b2306	5552	validated
070f2a04-e21b-475f-853f-62639bbe0ce1	070f2a04-e21b-475f-853f-62639bbe0ce1/AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E11_1348312.nocnv_grch38.seg.v2.txt	54d5a17fb715941d919e221e275d0ad7	9833	validated
0860da78-d65b-49b9-82e2-fa772ab40889	0860da78-d65b-49b9-82e2-fa772ab40889/BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_E08_1348588.nocnv_grch38.seg.v2.txt	a258e8a8c6235404f827a23f3988e962	16696	validated
087c3d5a-41e4-4daa-98d7-043f1d60a0db	087c3d5a-41e4-4daa-98d7-043f1d60a0db/BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_D09_1348564.nocnv_grch38.seg.v2.txt	2e07803725e690946f95fdf3a1bcc899	31228	validated
0e7afa80-a4d5-4acb-90af-acf997cd0c98	0e7afa80-a4d5-4acb-90af-acf997cd0c98/BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_E06_1348508.nocnv_grch38.seg.v2.txt	1c9eb1b5c88fa17da7161a78c33cddff	9985	validated
0f5736e9-e6ea-49d2-a7ec-7582fbdb1c0d	0f5736e9-e6ea-49d2-a7ec-7582fbdb1c0d/GAMED_p_TCGA_B_312_313_314_NSP_GenomeWideSNP_6_F01_1361686.nocnv_grch38.seg.v2.txt	9505685fed76058433e83518a7d3ece3	65325	validated
0fda4f63-73b2-43e0-ad53-b7dc005571fa	0fda4f63-73b2-43e0-ad53-b7dc005571fa/BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_G05_1348458.nocnv_grch38.seg.v2.txt	69011bc82a201b08dfe66ce59ea2a17b	16766	validated
1354e95b-c1f4-4964-9746-7e33704f80d1	1354e95b-c1f4-4964-9746-7e33704f80d1/AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_D11_1348418.nocnv_grch38.seg.v2.txt	7ff618812b7c6a88de8fb5004e46e72e	6823	validated
16d60208-b1a4-47ea-b3fb-c3f99f2868a5	16d60208-b1a4-47ea-b3fb-c3f99f2868a5/AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_F11_1348304.nocnv_grch38.seg.v2.txt	3cc28ddf859059807e798476f37bfd50	9837	validated
